Market,Investor,Rows available,Source period,Coverage,Source
US,Daniel Loeb,43,2026-06-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1040273/000104027326000003/xslForm13F_X02/primary_doc.xml
US,David Einhorn,46,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=GLRE
US,David Rolfe,18,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=WP
US,David Tepper,27,2026-06-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1656456/000165645626000003/xslForm13F_X02/primary_doc.xml
US,Diamond Hill Capital,0,,Detailed source unavailable,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158590/latest/diamond-hill-capital-portfolio/
US,First Pacific Advisors,72,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=FPA
US,Francis Chou,29,Jul 2026,Retrieved disclosure snapshot,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158701/latest/francis-chou-portfolio/
US,Frank Sands,70,Aug 2026,Retrieved disclosure snapshot,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158584/latest/frank-sands-portfolio/
US,George Soros,266,2026-06-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1029160/000090266426003507/xslForm13F_X02/primary_doc.xml
US,Glenn Greenberg,40,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=CCM
US,HOTCHKIS & WILEY,0,,Detailed source unavailable,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158585/latest/hotchkis-wiley-portfolio/
US,Jana Partners,0,,Detailed source unavailable,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158658/latest/jana-partners-portfolio/
US,Jeff Auxier,0,,Detailed source unavailable,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158678/latest/jeff-auxier-portfolio/
US,Jefferies Group,200,Aug 2026,Partial disclosed portfolio,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158602/latest/jefferies-group-portfolio/
US,Jeremy Grantham,200,Aug 2026,Partial disclosed portfolio,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158593/latest/jeremy-grantham-portfolio/
US,Jim Simons,3140,2026-06-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1037389/000103738926000059/xslForm13F_X02/primary_doc.xml
US,Joel Greenblatt,200,Aug 2026,Partial disclosed portfolio,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158632/latest/joel-greenblatt-portfolio/
US,John Hussman,0,,Detailed source unavailable,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158675/latest/john-hussman-portfolio/
US,John Paulson,9,Jun 2026,Retrieved disclosure snapshot,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158661/latest/john-paulson-portfolio/
US,John Rogers,106,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=AI
US,Kahn Brothers,47,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=KB
US,Ken Fisher,200,Aug 2026,Partial disclosed portfolio,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158574/latest/ken-fisher-portfolio/
US,Kenneth C. Griffin,13572,2026-06-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1423053/000110465926104387/xslForm13F_X02/primary_doc.xml
US,Larry Robbins,0,,Detailed source unavailable,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158628/latest/larry-robbins-portfolio/
US,Lee Ainslie,179,2026-06-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/934639/000094787126000793/xslForm13F_X02/primary_doc.xml
US,Li Lu,8,2026-06-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1709323/000204358526000022/xslForm13F_X02/primary_doc.xml
US,Louis Moore Bacon,0,,Detailed source unavailable,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158627/latest/louis-moore-bacon-portfolio/
US,Mairs and Power,200,30 Jun 2026,Partial disclosed portfolio,https://www.dataroma.com/m/holdings.php?m=MPF
US,Mario Cibelli,12,Jul 2025,Retrieved disclosure snapshot,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158700/latest/mario-cibelli-portfolio/
US,Mario Gabelli,200,Jul 2026,Partial disclosed portfolio,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158611/latest/mario-gabelli-portfolio/
US,Mark Hillman,54,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=HCM
US,Mason Hawkins,47,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=SE
US,Michael Burry,8,2025-09-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1649339/000164933925000007/xslForm13F_X02/primary_doc.xml
US,Michael Dell,3,Aug 2026,Retrieved disclosure snapshot,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158685/latest/michael-dell-portfolio/
US,Mohnish Pabrai,4,2026-06-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1549575/000154957526000015/xslForm13F_X02/primary_doc.xml
US,Nelson Peltz,8,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=TF
US,Ole Andreas Halvorsen,81,Aug 2026,Retrieved disclosure snapshot,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158591/latest/ole-andreas-halvorsen-portfolio/
US,Paul Tudor Jones,200,Aug 2026,Partial disclosed portfolio,https://trendlyne.com/portfolio/superstar-shareholders/2158617/latest/paul-tudor-jones-portfolio/
US,Peter Schiff,68,Aug 2026,Retrieved disclosure snapshot,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158682/latest/peter-schiff-portfolio/
US,Philippe Laffont,66,2026-06-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1135730/000091957426005478/xslForm13F_X02/primary_doc.xml
US,Prem Watsa,32,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=FFH
US,Raymond Thomas Dalio,997,2026-06-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1350694/000135069426000003/xslForm13F_X02/primary_doc.xml
US,Richard Pzena,159,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=PIM
US,Robert Bruce,0,,Detailed source unavailable,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158688/latest/robert-bruce-portfolio/
US,Robert Karr,10,2026 Q1,Retrieved disclosure snapshot,https://mail.valuesider.com/guru/robert-karr-joho-capital/portfolio?page=1
US,Robert Olstein,0,,Detailed source unavailable,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158674/latest/robert-olstein-portfolio/
US,Ronald Muhlenkamp,28,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=MUHL
US,Ronald S. Baron,40,2026 Q2,Partial disclosed portfolio,https://www.terminal001.app/superinvestors/ron-baron
US,Ruane Cunniff,54,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=RC
US,Sallie Krawcheck,0,,Detailed source unavailable,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158659/latest/sallie-krawcheck-portfolio/
US,Sarah Ketterer,121,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=CAU
US,Seth Klarman,23,2026-06-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1061768/000106176826000010/xslForm13F_X02/primary_doc.xml
US,Stanley Druckenmiller,95,2026-06-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1536411/000153641126000006/xslForm13F_X02/primary_doc.xml
US,Steve Mandel,34,2026-06-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1061165/000091957426005485/xslForm13F_X02/primary_doc.xml
US,Steven Cohen,200,Oct 2025,Partial disclosed portfolio,https://trendlyne.com/us/portfolio/superstar-shareholders/2158583/latest/steven-cohen-portfolio/
US,Tom Gayner,130,Aug 2026,Retrieved disclosure snapshot,https://us.trendlyne.com/us/portfolio/superstar-shareholders/2158614/latest/tom-gayner-portfolio/
US,Tom Russo,84,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=GR
US,Tweedy Browne,91,30 Jun 2026,Retrieved disclosure snapshot,https://www.dataroma.com/m/holdings.php?m=TB
US,Warren Buffett,29,2026-06-30,Retrieved disclosure snapshot,https://www.sec.gov/Archives/edgar/data/1067983/000119312526352200/xslForm13F_X02/primary_doc.xml
