"Stock","Client Name","Client Category","Action*","Reported To/By Exchange","Quantity","Post Transaction Holding","Traded %","Avg. Price","Value","Period","Regulation (Insider/SAST)","Security Type","Mode"
"Apollo Hospitals","K VISHWESHWAR REDDY","Promoter","Revoke","2026-08-20","115000","1577350","0.08","8750.4","1,006,300,000","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","None"
"Gyan Developers ","T Ashok Raj HUF","Promoter Group","Disposal","2026-08-20","295000","0
                
                
                    (0%)","9.83","52.7","15,546,500","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Off Market"
"Star Cement","Tanishi Agarwal","Directors Immediate Relative","Acquisition","2026-08-20","8000","987112","0.00","202.2","1,617,854","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"CSL Finance","Rohit Gupta HUF","Promoter","Acquisition","2026-08-20","15480","318341","0.07","0.0","1","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Safari Industries","ABHISHEK KUMAR","Designated Person","Disposal","2026-08-20","2955","0
                
                
                    (0%)","0.01","1485","4,388,175","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"CSL Finance","Rohit Gupta HUF","Promoter","Acquisition","2026-08-20","20000","301462","0.09","0","0","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"Crestchem","DIPAK NARENDRAPRASAD PATEL","Promoter and Director","Acquisition","2026-08-20","500","888539","0.02","125.6","62,800","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Purchase"
"CSL Finance","CSL Capital Private Limited","Promoter","Acquisition","2026-08-20","35200","6820927","0.15","0","0","17 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Nirlon","SHITAL TRADING & INTERIORS PVT.LTD.","Promoter Group","Disposal","2026-08-20","5000","20000","0.01","620.6","3,102,750","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Milkfood","J HOUSING PRIVATE LIMITED","Promoter Group","Acquisition","2026-08-20","43702","73702","0.18","82.7","3,614,140","17 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Purchase"
"Samyak International","VIRENDRA CAPITAL MARKETS PVT. LTD. (Revised)","Promoter Group","Acquisition","2026-08-20","1100000","1100000","13.75","17","18,700,000","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Preferential Offer"
"KPIT Technologies","KPIT Technologies Limited Employees Welfare Trust","Other","Disposal","2026-08-20","1800","1658550","0.00","618.5","1,113,240","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","ESOP"
"Smiths & Founders","Supriya Shastry","Designated Person","Disposal","2026-08-20","81247","18163368","0.08","13.9","1,127,610","10 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Sale"
"Mach Travel Solutions","Adit Bhatia","Promoter and Director","Acquisition","2026-08-20","5400","107000","0.03","182.1","983,400","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Purchase"
"Vibhor Steel Tubes","VIJAY KUMAR KAUSHIK","Promoter and Director","Acquisition","2026-08-20","2000","4179400","0.01","107.2","214,322","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Purchase"
"Moongipa Cap Fin","Nirmal Jain","Promoter","Acquisition","2026-08-20","14000","157600","0.15","16","224,000","18 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Purchase"
"Avonmore Capital","INNOVATIVE MONEY MATTERS PRIVATE LIMITED","Promoter","Acquisition","2026-08-20","60831","94275731","0.02","13.3","809,518","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Purchase"
"Yasho Industries","USHA RAVINDRA BHAT","Directors Immediate Relative","Disposal","2026-08-20","5000","5000","0.04","0","0","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Sale"
"Deccan Gold Mines","KRISHNAMURTHY KARUNAKARAN","KMP","-","2026-08-19","130000","397760","0.07","239.4","31,115,500","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Pledge Creation"
"Deccan Gold Mines","SATHEESHA G R","Designated Person","Disposal","2026-08-19","2502","47737","0.00","229.7","574,816","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Samyak International","VIRENDRA CAPITAL MARKETS PVT. LTD.","Promoter","Acquisition","2026-08-19","1100000","1100000","13.75","17","18,700,000","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Preferential Offer"
"Excelsoft Technologies","Mysore Sudhindratheertha Adarsh","Promoter Group","Acquisition","2026-08-19","30000","945000","0.03","74.9","2,246,700","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Market Purchase"
"Landmark Cars","Harshal Manojkumar Desai","Designated Person","Disposal","2026-08-19","6217","44758","0.01","508.7","3,162,569","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Sale"
"GLEN Industries","Lalit Agrawal(HUF)","Promoter Group","Acquisition","2026-08-19","48000","299000","0.20","117.8","5,656,416","18 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Purchase"
"Alembic","Nirayu Private Limited","Promoter Group","Acquisition","2026-08-19","115719","162485147","0.05","89.3","10,337,171","18 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Purchase"
"Sayaji Hotels Indore","CENTURY 21 OFFICESPACE PRIVATE LIMITED","Promoter","Disposal","2026-08-19","17498","898772","0.57","1178.3","20,617,893","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Sale"
"Sayaji Hotels Indore","CENTURY 21 OFFICESPACE PRIVATE LIMITED","Promoter","Disposal","2026-08-19","8163","916270","0.27","1123.5","9,171,131","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Sayaji Hotels Indore","CENTURY 21 OFFICESPACE PRIVATE LIMITED","Promoter","Disposal","2026-08-19","18471","880301","0.61","1237.2","22,852,321","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Sale"
"Siyaram Silk Mills","Gaurav Poddar","Promoter and Director","Acquisition","2026-08-19","349683","2612080","0.77","0","0","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Gift"
"JSW Steel","JSW Steel Employees Welfare Trust – JSWSL OPJ Samruddhi Plan 2021 A/c","Other","Disposal","2026-08-19","4342","4223004","0.00","1283.0","5,570,829","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Siyaram Silk Mills","Anurag Poddar","Promoter","Acquisition","2026-08-19","349683","2318170","0.77","0","0","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Gift"
"Rekvina Laboratories","Amit Mukesh Shah","Promoter and Director","Acquisition","2026-08-19","2189543","3017426","36.32","10","21,895,430","12 Aug 2026  13 Aug 2026","Insider Trading","Equity","Allotment"
"JSW Steel","JSW Steel Employees Welfare Trust – OPJ ESOP Plan 2021 A/c","Other","Disposal","2026-08-19","3811","4262450","0.00","1272.3","4,848,750","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Market Sale"
"Siyaram Silk Mills","Ankit Poddar","Promoter","Acquisition","2026-08-19","349683","2612079","0.77","0","0","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Gift"
"JSW Steel","JSW Steel Employees Welfare Trust – JSWSL OPJ Samruddhi Plan 2021 A/c","Other","Disposal","2026-08-19","14682","4231869","0.00","1","14,682","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Off Market"
"SAR Auto Products","SHREYAS RAMESHBHAI VIRANI","Promoter and Director","Disposal","2026-08-19","2790","1296525","0.06","3600.1","10,044,174","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Sale"
"Siyaram Silk Mills","Vibha Shrikishan Poddar","Promoter","Disposal","2026-08-19","2098099","90","4.62","0","0","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Gift"
"JSW Steel","JSW Steel Employees Welfare Trust – JSWSL OPJ Samruddhi Plan 2021 A/c","Other","Disposal","2026-08-19","2341","4260109","0.00","1272.4","2,978,585","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Market Sale"
"Rekvina Laboratories","Krima Surbhit Shah","Promoter Immediate Relative","Acquisition","2026-08-19","333843","333843","5.54","10","3,338,430","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","Allotment"
"JSW Steel","JSW Steel Employees Welfare Trust – OPJ ESOP Plan 2021 A/c","Other","Disposal","2026-08-19","13558","4246551","0.00","1","13,558","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Off Market"
"Godawari Power ","N P Agrawal","Promoter","Acquisition","2026-08-19","19911155","43303145","2.96","0","0","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Inheritance"
"JSW Steel","JSW Steel Employees Welfare Trust – OPJ ESOP Plan 2021 A/c","Other","Disposal","2026-08-19","4523","4227346","0.00","1283.4","5,804,863","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"JSW Steel","JSW Steel Employees Welfare Trust – JSWSL OPJ Samruddhi Plan 2021 A/c","Other","Disposal","2026-08-19","2251","4207126","0.00","1267.8","2,853,920","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Sale"
"Siyaram Silk Mills","Avnish Poddar","Promoter","Acquisition","2026-08-19","349683","2318170","0.77","0","0","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Gift"
"Sacheta Metals","ESKAY ALLUMINIUM PVT LTD","Promoter Group","Acquisition","2026-08-19","9104","27527","0.01","3.8","34,231","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Purchase"
"JSW Steel","JSW Steel Employees Welfare Trust – OPJ ESOP Plan 2021 A/c","Other","Disposal","2026-08-19","13627","4209377","0.00","1267.9","17,277,108","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Sale"
"Rekvina Laboratories","Ami Amit Shah","Promoter Immediate Relative","Acquisition","2026-08-19","333845","333845","5.54","10","3,338,450","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","Allotment"
"W S Industries","S. Aravindan","Promoter","Acquisition","2026-08-19","1765","4626083","0.00","62.3","109,988","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"Rekvina Laboratories","Surbhit Mukesh Shah","Promoter and Director","Acquisition","2026-08-19","2099820","3017427","34.83","1","2,099,820","12 Aug 2026  13 Aug 2026","Insider Trading","Equity","Allotment"
"Siyaram Silk Mills","Ramesh Kumar Poddar","Promoter and Director","Acquisition","2026-08-19","699367","3053150","1.54","0","0","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Gift"
"W S Industries","S. Aravindan","Promoter","Acquisition","2026-08-19","15873","4641956","0.02","62.1","985,416","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"Beryl Drugs","SUDHIR SETHI","Promoter and Director","Acquisition","2026-08-19","4809","518928","0.09","23.0","110,601","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Aarti Pharmalabs","Safechem Enterprises Private Limited","Promoter Group","Disposal","2026-08-19","15000","455750","0.02","878.7","13,180,373","18 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Sale"
"JSW Steel","JSW Steel Employees Welfare Trust – OPJ ESOP Plan 2021 A/c","Other","Disposal","2026-08-19","19258","4187868","0.00","1","19,258","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Off Market"
"Indo-City Infotech","TIMES GROWTH SECURITEIS LIMITED","Other","Acquisition","2026-08-19","10000","445000","0.10","13.4","133,798","17 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Apollo Hospitals","K VISHWESHWAR REDDY","Promoter","-","2026-08-19","81000","1577350","0.06","8825.9","714,900,000","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Pledge Creation"
"Hexagon Nutrition","MS. ANURADHA KELKAR","Promoter Group","Acquisition","2026-08-19","15000","9068059","0.01","64.0","960,728","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"Parmax Pharma","ALKESH M GOPANI","Promoter","Disposal","2026-08-19","670380","0
                
                
                    (0%)","17.92","35","23,463,300","13 Aug 2026  17 Aug 2026","Insider Trading","Equity","Off Market"
"Manappuram Finance","Lekshmy E","Employees Immediate Relative","Disposal","2026-08-19","19000","62","0.00","346.0","6,573,050","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Sale"
"Parmax Pharma","VIPUL M GOPANI","Promoter","Disposal","2026-08-19","481370","0
                
                
                    (0%)","12.87","35","16,847,950","13 Aug 2026  17 Aug 2026","Insider Trading","Equity","Off Market"
"HCL Technologies","HCL Technologies Stock Options Trust","Designated Person","Disposal","2026-08-19","8891","7713906","0.00","1372.8","12,205,565","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","ESOS"
"Parmax Pharma","PRAVINA M GOPANI","Promoter Group","Disposal","2026-08-19","700","0
                
                
                    (0%)","0.02","35","24,500","13 Aug 2026  17 Aug 2026","Insider Trading","Equity","Off Market"
"Baazar Style Retail","Rajendra Kumar Gupta HUF","Promoter","Disposal","2026-08-19","150000","2748800","0.20","0.0","402","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Sale"
"Oasis Securities","Ritika Sodhani","Promoter Group","Acquisition","2026-08-19","52000","552000","0.11","0","0","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"HCL Technologies","Meshach Samuel Pradeepraj Moses","Designated Person","Disposal","2026-08-19","2691","0
                
                
                    (0%)","0.00","1333.5","3,588,449","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Oasis Securities","Priya Sodhani","Promoter and Director","Acquisition","2026-08-19","65000","4088775","0.14","0","0","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"eClerx Services","Eclerx Employee Welfare","Trust","Disposal","2026-08-19","15457","2102671","0.02","1781.1","27,530,914","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Eveready Industries","ADITYA KHAITAN","Promoter","-","2026-08-19","232266","232266","0.32","352.9","81,966,671","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Pledge Creation"
"Nila Spaces","Kiran B Vadodaria","Promoter","Disposal","2026-08-19","737197","30180065","0.19","12.7","9,339,194","17 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Sale"
"Hexagon Nutrition","DR. NIKHIL KELKAR","Promoter","Acquisition","2026-08-19","16400","21232468","0.01","64.0","1,050,131","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"Hexagon Nutrition","MR. VIKRAM KELKAR","Promoter","Acquisition","2026-08-19","16300","25961344","0.01","64.1","1,044,058","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"Shantai Industries","DISHA MURLIDHAR SAWLANI","Promoter","Disposal","2026-08-19","660000","0
                
                
                    (0%)","8.80","11.5","7,590,000","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Off Market"
"NCC","Sirisha Projects Private Limited","Promoter","Acquisition","2026-08-19","214546","25305494","0.03","139.0","29,815,308","17 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Shantai Industries","HARISHBHAI FATANDAS SAWLANI","Promoter and Director","Disposal","2026-08-19","1200000","0
                
                
                    (0%)","16","11.5","13,800,000","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Off Market"
"Tainwala Chemicals","PERIWINKLE FASHIONS PRIVATE LIMITED","Promoter Group","Acquisition","2026-08-19","9473","43317","0.10","207.7","1,967,586","10 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Shantai Industries","REENA HARISH SAWLANI","Promoter and Director","Disposal","2026-08-19","660000","0
                
                
                    (0%)","8.80","11.5","7,590,000","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Off Market"
"Shantai Industries","MURLIBHAI FATANDAS SAWLANI","Promoter","Disposal","2026-08-19","1200000","0
                
                
                    (0%)","16","11.5","13,800,000","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Off Market"
"Shantai Industries","VASUDEV FATANDAS SAWLANI","Promoter and Director","Disposal","2026-08-19","1860000","0
                
                
                    (0%)","24.80","11.5","21,390,000","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Off Market"
"RPP Infra Projects","Ms. N A Yagavi","Promoter Group","Disposal","2026-08-19","881286","1357997","1.78","58.7","51,722,675","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Sellowrap Industries","Radhika Poddar","Promoter","Acquisition","2026-08-19","28800","89600","-","","-","13 Aug 2026  13 Aug 2026","SAST (Reg29(2))","Equity shares","Open Market"
"Dollex Agrotech","Mrs. Munni Khan","Promoter","Sale","2026-08-19","116000","6536000","-","","-","12 Aug 2026  12 Aug 2026","SAST (Reg29(2))","Equity shares","Others"
"Dollex Agrotech","Mrs. Munni Khan","Promoter","Sale","2026-08-19","786000","5750000","-","","-","13 Aug 2026  13 Aug 2026","SAST (Reg29(2))","Equity shares","Others"
"Dollex Agrotech","Mrs. Munni Khan","Promoter","Sale","2026-08-19","786000","5750000","-","","-","13 Aug 2026  13 Aug 2026","SAST (Reg29(2))","Equity shares","Others"
"DocMode Health ","Ramesh Kumar Jain","","Acquisition","2026-08-19","62400","188000","-","","-","06 Aug 2026  13 Aug 2026","SAST (Reg29(2))","Equity shares","Open Market"
"DocMode Health ","Ramesh Jain HUF","","Acquisition","2026-08-19","20000","120000","-","","-","06 Aug 2026  13 Aug 2026","SAST (Reg29(2))","Equity shares","Open Market"
"Newjaisa Tech","Vishesh Handa","Promoter","Sale","2026-08-19","693000","21626752","-","","-","13 Dec 2024  04 Aug 2026","SAST (Reg29(2))","Equity shares","Open Market"
"Nikita Greentech Recycling","Abhinav A Bansal","Promoter","Acquisition","2026-08-19","63600","866540","-","","-","12 Aug 2026  13 Aug 2026","SAST (Reg29(2))","Equity shares","Open Market"
"DocMode Health ","Ramesh Kumar Jain","","Acquisition","2026-08-19","72000","260000","-","","-","14 Aug 2026  14 Aug 2026","SAST (Reg29(2))","Equity shares","Open Market"
